injury_set	rank	gene	beta_injury_index	t	p_value	FDR	selection_rule
HBV_INJURY_TOP_5000	1	PTAFR	0.3856811353494398	9.601920404053441	7.563986613909574e-17	1.4191112722856992e-12	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	2	UBD	1.4037476021492745	9.506031660428365	1.3047499400410972e-16	1.4191112722856992e-12	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	3	NUB1	0.22940901213275366	9.342012132515807	3.3084752851403375e-16	2.3989754292552587e-12	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	4	PNMA2	0.6180135273347825	9.26620288173353	5.081402395178298e-16	2.7633936575578383e-12	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	5	LPXN	0.3499737940434696	9.159896162729668	9.264664321591144e-16	4.030684859751443e-12	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	6	RTN1	0.4575780127067034	8.88784316333813	4.281340033462524e-15	1.552199829131838e-11	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	7	CDC25B	0.3366802706455246	8.71481798871734	1.127313362401647e-14	3.503206796046147e-11	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	8	HCP5	0.5629081842640566	8.651258026798809	1.6069640424318044e-14	3.9287868694103684e-11	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	9	LOC101928589	0.3665225492856615	8.649202018072936	1.6254807072446703e-14	3.9287868694103684e-11	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	10	FGD2	0.326009773089327	8.574898880403502	2.4581082235575776e-14	4.5563322884552516e-11	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	11	MAML2	0.4584943466869839	8.568278045050496	2.5502753639209263e-14	4.5563322884552516e-11	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	12	CXCL10	1.1888970006821398	8.55968070762039	2.675104321757442e-14	4.5563322884552516e-11	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	13	KLHL6	0.541252132573511	8.556490841078539	2.7229494667364626e-14	4.5563322884552516e-11	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	14	EGR2	0.5714540055214541	8.53873469929051	3.0052539182150816e-14	4.669520605923762e-11	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	15	BARD1	0.4696854197678189	8.500310733904218	3.7197218747625774e-14	5.122889938667983e-11	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	16	BTG2	0.47092115785841915	8.497984086731439	3.768042983436203e-14	5.122889938667983e-11	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	17	MTHFD2	0.7029944665491732	8.485587684971813	4.036217518327795e-14	5.164696451540266e-11	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	18	SAMD9L	0.5427704221763673	8.434875729095117	5.345665355774586e-14	6.460236582453587e-11	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	19	STAT1	0.5230500555074845	8.411437762435684	6.086024360712163e-14	6.967857258872194e-11	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	20	CDCP1	0.3015872192864938	8.34801940047831	8.640549334771276e-14	8.789166882123857e-11	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	21	HPSE	0.6148798347676014	8.343989043385056	8.83494152066521e-14	8.789166882123857e-11	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	22	MAB21L2	0.6191130627344938	8.335754283894667	9.245737068968103e-14	8.789166882123857e-11	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	23	DOCK11	0.4955381407736725	8.334830093644827	9.293009621148748e-14	8.789166882123857e-11	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	24	CDCA7	0.4590872436452449	8.322001159770151	9.974570078027315e-14	8.879418101383456e-11	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	25	JUN	0.5180619537589206	8.314028794776561	1.0422912012797337e-13	8.879418101383456e-11	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	26	TLR7	0.393438751488419	8.308590106244514	1.0740203346727776e-13	8.879418101383456e-11	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	27	C5AR1	0.4537268771695724	8.303905157340056	1.1021205752648064e-13	8.879418101383456e-11	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	28	MX2	0.49697846109255794	8.285490658553128	1.219830103079489e-13	9.476772940102901e-11	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	29	TCIRG1	0.2992146775242013	8.254137827700514	1.449672249181192e-13	1.0874041529806368e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	30	FPR3	0.5291154222664014	8.244373329023231	1.529684588477425e-13	1.109174295104981e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	31	STX7	0.31034466749058043	8.23775160941685	1.5864259799178647e-13	1.1132104626178489e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	32	PTPRE	0.44398367089013996	8.22983685838715	1.6569968820955397e-13	1.1263954117570086e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	33	EMILIN2	0.43583677025798834	8.224134937330152	1.7097619821537683e-13	1.1270440120542703e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	34	CD300LF	0.5053539071516211	8.203332996572433	1.9168108124562864e-13	1.1797376482393016e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	35	IL32	0.7694748438854895	8.200283340739567	1.9491897902371985e-13	1.1797376482393016e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	36	RGS1	0.6268249002475211	8.199983737993085	1.9523999143389353e-13	1.1797376482393016e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	37	MICB	0.5437475723257015	8.187475183171474	2.0912164541802183e-13	1.229465716967089e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	38	LAIR1	0.4475123604643325	8.176625409514989	2.2195375030176906e-13	1.2544335590240562e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	39	SLC7A6	0.4429713539160682	8.174220829454363	2.2490189308112993e-13	1.2544335590240562e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	40	LAMP3	0.6896390250355143	8.152437429799095	2.5344560374725947e-13	1.378300554578534e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	41	CD83	0.3636637697820975	8.119623405053709	3.033716593541951e-13	1.6095716355931234e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	42	FGR	0.4171843635946088	8.081327200787568	3.7410302832722973e-13	1.937586470286245e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	43	STAT4	0.3115895502919532	8.068343729401374	4.016228747279349e-13	2.0317447427806438e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	44	CFL1	0.2501696138238472	8.060067769265835	4.202042778911781e-13	2.0565348427204836e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	45	HOXB2	0.25268045638578684	8.05588201628346	4.2992480687771083e-13	2.0565348427204836e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	46	IFIT5	0.32147341150028624	8.053782051063926	4.3488531588811775e-13	2.0565348427204836e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	47	FABP5	0.8748577044474087	8.047028366168258	4.512273049277953e-13	2.0884143753392195e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	48	CCND2	0.5895392096601301	8.03920211653981	4.709285978560344e-13	2.1341895394088158e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	49	NUSAP1	0.7014812966941849	8.034156099048772	4.840815825771246e-13	2.1490258501633042e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	50	SLC6A6	0.5206415177517639	8.000390123631943	5.819870314668034e-13	2.531992779099475e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	51	GRK3	0.48098249932732284	7.9937750273083985	6.033547308791059e-13	2.573485384473174e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	52	CXCL9	1.1415836202373089	7.989091242564244	6.189532177998293e-13	2.589247951307632e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	53	TC2N	0.4004185100725756	7.974338051975915	6.707501245450977e-13	2.7529863130621716e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	54	SLC7A1	0.5913921821014675	7.95623449248474	7.402220417143914e-13	2.9384367595925713e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	55	SH2D2A	0.23291859790012134	7.955558393194733	7.4295049775935e-13	2.9384367595925713e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	56	CCNA2	0.5546543239545505	7.916136884810965	9.205593925832227e-13	3.521440755499596e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	57	ZNF738	0.48795635888247624	7.914869923637926	9.269177792148035e-13	3.521440755499596e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	58	PCED1B	0.3642339031235573	7.91250144961433	9.38921361738503e-13	3.521440755499596e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	59	LOC101928269	0.33710756916435186	7.888726892388458	1.0682949434691604e-12	3.938749136488923e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	60	PARVG	0.35287789025404204	7.862973223846168	1.2284512790784692e-12	4.45375011229899e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	61	SLAMF7	0.7458774224528649	7.858699108086265	1.2572452112298294e-12	4.483418865554505e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	62	GAS7	0.285789745472547	7.849177243299368	1.3238224320640947e-12	4.6446950588210087e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	63	OSBPL3	0.5126701544856455	7.841277512475114	1.3817038977101854e-12	4.770826172522169e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	64	ARHGAP18	0.3797638406809815	7.837196591906904	1.4125814841977761e-12	4.801232035274098e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	65	PLP2	0.45932228326617724	7.8303980407728915	1.4655490649667703e-12	4.904629047726485e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	66	RAP2B	0.38987735860385614	7.825838040587925	1.5021754681816958e-12	4.905435611293614e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	67	ENTPD1	0.3886085819712254	7.824769168815537	1.510891306746987e-12	4.905435611293614e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	68	PLXNC1	0.7046613133858641	7.813432574018635	1.6064777157146447e-12	5.139074963226568e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	69	HLA-B	0.28417327299858264	7.803549359706437	1.6946896250670078e-12	5.34269324841777e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	70	MYO5A	0.4751138920803831	7.7725929769059	2.0032828125824304e-12	6.215974519525933e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	71	CRLF3	0.2993744550233962	7.770245166681321	2.028842876322076e-12	6.215974519525933e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	72	STK17B	0.5794681130014404	7.763674484398641	2.1021087027294394e-12	6.350995918121319e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	73	CD27	0.5203034601138126	7.755302596942912	2.199272000756528e-12	6.449659358660387e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	74	PAG1	0.4444764302182573	7.754682603845397	2.2066422466576694e-12	6.449659358660387e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	75	BCAT1	0.6529090000928587	7.753254383338901	2.223713749365738e-12	6.449659358660387e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	76	SLC25A24	0.45065578713361715	7.747063633106925	2.299239046699363e-12	6.514922105737607e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	77	RAD51AP1	0.5717586723252317	7.746510141759968	2.3061141090506864e-12	6.514922105737607e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	78	MCUB	0.406617794830614	7.743200764604542	2.3476482518144265e-12	6.54722979765631e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	79	C15ORF48	0.8272207258073105	7.737208394220891	2.4247519321795166e-12	6.676661870974813e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	80	BTN2A2	0.261938433970306	7.722748093696371	2.621310205173881e-12	7.059513771007892e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	81	TRIM22	0.5268632813883014	7.722225815670005	2.628697721930949e-12	7.059513771007892e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	82	CHST11	0.37863688155995173	7.717628312759682	2.694625785601819e-12	7.148316428560532e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	83	HLA-C	0.2437663636959221	7.713698943225799	2.7522707073923705e-12	7.213270445530871e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	84	TFEC	0.633345034230629	7.708929247690979	2.8238888469906375e-12	7.312863581974684e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	85	SUSD1	0.3667730826521418	7.686586621660339	3.1847541349280104e-12	7.971791004179289e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	86	CCR5	0.4790083307374656	7.683558100282017	3.2370646228543106e-12	7.971791004179289e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	87	PLEKHO2	0.23087473232558622	7.68280827548225	3.2501470985438933e-12	7.971791004179289e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	88	RMI2	0.4177553300192896	7.681959411352561	3.265020832662967e-12	7.971791004179289e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	89	GTPBP2	0.2105483495154002	7.6808600898924295	3.2843834067702436e-12	7.971791004179289e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	90	FHOD1	0.24358366308080853	7.68007859627977	3.2982172131482374e-12	7.971791004179289e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	91	CD74	0.4962026984170969	7.666804963318357	3.5422058610506266e-12	8.467429021476295e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	92	DTL	0.7552763068398867	7.663154352279843	3.6123919538140757e-12	8.54134371427365e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	93	PTPN6	0.25138466508499285	7.65369137025583	3.8008109775914894e-12	8.890219483392222e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	94	STK10	0.342967858238762	7.649382795499514	3.8897971746312946e-12	8.98774347235052e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	95	CD69	0.582821337832169	7.647698623476829	3.925139658315172e-12	8.98774347235052e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	96	CSF2RB	0.5378818427082065	7.639131119248127	4.109918703130242e-12	9.168285517175037e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	97	GPR176	0.31865825404243775	7.638926096833121	4.114444571796673e-12	9.168285517175037e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	98	LOC100506098	0.41960429342763783	7.6382038349830905	4.130427898143491e-12	9.168285517175037e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	99	MARCH1	0.4064922844007126	7.622567710429113	4.49194291836389e-12	9.87002366698684e-10	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	100	SMCR8	0.16476412674849858	7.607929735926492	4.858736568671342e-12	1.056920965783077e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	101	MIR155	0.7187984896659878	7.593666882539527	5.244650023965117e-12	1.1295729898149822e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	102	IL18BP	0.44748391912028623	7.586149668533336	5.460117464775463e-12	1.15755798652479e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	103	SLC25A36	0.3084380156754656	7.58543637762278	5.481012853953632e-12	1.15755798652479e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	104	TNFSF13B	0.4883944438994656	7.571249358478882	5.913473639764307e-12	1.2261396656584911e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	105	SIRPG	0.45247974973118743	7.5710912621895865	5.9184785957864e-12	1.2261396656584911e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	106	IGK	0.739456568904093	7.568209245317128	6.0104558598827366e-12	1.233447606792728e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	107	ZNF710	0.14956099963874586	7.564053330329163	6.145588249166877e-12	1.2413566984386564e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	108	TRIM69	0.48402248024087596	7.562185221339347	6.2073079309646586e-12	1.2413566984386564e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	109	IPCEF1	0.29814991890125747	7.56179751416145	6.220194002198021e-12	1.2413566984386564e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	110	NOD2	0.3700836259004999	7.55306954537334	6.517402059018365e-12	1.2888458817256954e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	111	C12ORF4	0.2773344633097154	7.547935999048527	6.698740589792094e-12	1.312772108556283e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	112	BIRC3	0.31824526850716234	7.545032300379504	6.8035163641248045e-12	1.3137178092986632e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	113	TOX	0.6270050102063297	7.544460179580298	6.824351236645471e-12	1.3137178092986632e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	114	KLF6	0.35082643911536743	7.530494518750164	7.353015153286597e-12	1.3955196088473417e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	115	TRAFD1	0.19722023725852034	7.529869732823992	7.377591827216674e-12	1.3955196088473417e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	116	MYLIP	0.27622501370657176	7.523250147695626	7.643033627850176e-12	1.4332664698846974e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	117	CELF2	0.4875109333136546	7.519150402485257	7.812154455457655e-12	1.4524597937570118e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	118	H2AFY	0.2302921374664463	7.51693666136324	7.905011084103384e-12	1.4572686958686519e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	119	GPRC5B	0.5492491268202498	7.514906034918644	7.991148181051326e-12	1.4607684569950378e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	120	TCF19	0.4081513293691866	7.505904739216338	8.384309643070454e-12	1.5172222375995592e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	121	TRAF5	0.5301358628323354	7.504675339270336	8.439474589690923e-12	1.5172222375995592e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	122	IFI30	0.43543166880313033	7.500268842398378	8.640171450219268e-12	1.54057089800508e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	123	ATP2A3	0.33600751610078233	7.497900249040417	8.749997405374267e-12	1.5474690533260686e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	124	STX6	0.3144510602569181	7.490759035294379	9.089559456938981e-12	1.5887173891527808e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	125	FILIP1L	0.5007155934935182	7.489940593513147	9.129300493913373e-12	1.5887173891527808e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	126	MLKL	0.2792698531616057	7.475830900162441	9.842128647651832e-12	1.699173210098177e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	127	DOCK8	0.5364204488659531	7.469237633905402	1.0193864935453388e-11	1.7460405034717917e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	128	PARP12	0.32150775548270444	7.4636932536787315	1.0499263960155021e-11	1.7843006947285326e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	129	NUAK2	0.3798337156021146	7.459518104973923	1.0735209084254315e-11	1.8102558388355359e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	130	CD200	0.4401043974878487	7.451513730965131	1.1202334846124849e-11	1.874495306982722e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	131	PIK3R5	0.29513088889725303	7.442476703560055	1.1753959334033704e-11	1.9434257533040336e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	132	IKZF3	0.35331028642867995	7.441853811316113	1.179295726732554e-11	1.9434257533040336e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	133	SLC36A1	0.2869570612052747	7.43637100465312	1.2141800166726133e-11	1.9858690152390496e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	134	TRIM6-TRIM34	0.30010869511728117	7.431962264238514	1.2429703995455791e-11	2.0177862015906703e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	135	PLBD1	0.4060134054219247	7.429599341526199	1.2586782718100039e-11	2.028150255309853e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	136	CRTAM	0.5247095201493022	7.427078284687098	1.2756542051797546e-11	2.040390141564353e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	137	SSH2	0.26063555066714744	7.4156243272590485	1.3556816526003478e-11	2.152465412968362e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	138	HLA-DOA	0.50129323867519	7.41356646630577	1.3705777265364733e-11	2.152465412968362e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	139	TMEM173	0.302938783844764	7.412903808549031	1.3754088741902374e-11	2.152465412968362e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	140	NCKAP1L	0.43039326616536877	7.40771798810292	1.4138034943896976e-11	2.1967476723899354e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	141	STK39	0.45917383481257645	7.398115559511115	1.4877213218538282e-11	2.295205809523853e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	142	SNX20	0.48182747893215094	7.388339435471969	1.5669074981127963e-11	2.3730216854436117e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	143	EPB41L2	0.38186653786130387	7.388228083491699	1.5678330727712616e-11	2.3730216854436117e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	144	CMTM7	0.3200476369510958	7.3878610990182825	1.5708873383160027e-11	2.3730216854436117e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	145	C16ORF54	0.6104444163072174	7.375138231435262	1.6804972370899874e-11	2.521093544718517e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	146	LPCAT1	0.30933044284724676	7.3726573854773125	1.7027363313186346e-11	2.5369605078886474e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	147	CD84	0.4669633805238094	7.365303231418979	1.7703881941429263e-11	2.6160166394094044e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	148	SLFN11	0.40406747740450516	7.364297076699723	1.7798485847128755e-11	2.6160166394094044e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	149	TARP	0.522640160796399	7.3560328543256155	1.8594712831865356e-11	2.714703276721927e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	150	NAV1	0.24872379353231724	7.350498598631764	1.9147534078207825e-11	2.776775392021699e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	151	SIDT1	0.3360078094592269	7.34739490123509	1.9464655437062036e-11	2.8040705279629833e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	152	TLR8	0.5839591436470295	7.343910468163265	1.9826878324013527e-11	2.8374610801464884e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	153	PIGS	0.14473810303991927	7.34076263641116	2.0159843940517977e-11	2.866255459072468e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	154	KNTC1	0.3060716133434026	7.336068539193011	2.0666677626373875e-11	2.9192353143279925e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
HBV_INJURY_TOP_5000	155	BICD1	0.1962660956940541	7.330705115844035	2.1261237344538764e-11	2.9838431997145272e-9	top_5000_positive_beta_FDR_lt_0.10_ranked
